enzyme_id,pollutant,ph,temperature,salinity,reference_score,has_sequence
ENZ001,PET,6,25,0.0,0.6725000000000001,True
ENZ001,PET,6,25,0.5,0.6725000000000001,True
ENZ001,PET,6,25,1.0,0.6725000000000001,True
ENZ001,PET,6,35,0.0,0.6725000000000001,True
ENZ001,PET,6,35,0.5,0.6725000000000001,True
ENZ001,PET,6,35,1.0,0.6725000000000001,True
ENZ001,PET,6,45,0.0,0.6100000000000001,True
ENZ001,PET,6,45,0.5,0.6100000000000001,True
ENZ001,PET,6,45,1.0,0.6100000000000001,True
ENZ001,PET,6,55,0.0,0.485,True
ENZ001,PET,6,55,0.5,0.485,True
ENZ001,PET,6,55,1.0,0.485,True
ENZ001,PET,6,65,0.0,0.4225,True
ENZ001,PET,6,65,0.5,0.4225,True
ENZ001,PET,6,65,1.0,0.4225,True
ENZ001,PET,7,25,0.0,0.7975000000000001,True
ENZ001,PET,7,25,0.5,0.7975000000000001,True
ENZ001,PET,7,25,1.0,0.7975000000000001,True
ENZ001,PET,7,35,0.0,0.7975000000000001,True
ENZ001,PET,7,35,0.5,0.7975000000000001,True
ENZ001,PET,7,35,1.0,0.7975000000000001,True
ENZ001,PET,7,45,0.0,0.7350000000000001,True
ENZ001,PET,7,45,0.5,0.7350000000000001,True
ENZ001,PET,7,45,1.0,0.7350000000000001,True
ENZ001,PET,7,55,0.0,0.6100000000000001,True
ENZ001,PET,7,55,0.5,0.6100000000000001,True
ENZ001,PET,7,55,1.0,0.6100000000000001,True
ENZ001,PET,7,65,0.0,0.5475,True
ENZ001,PET,7,65,0.5,0.5475,True
ENZ001,PET,7,65,1.0,0.5475,True
ENZ001,PET,8,25,0.0,0.8600000000000001,True
ENZ001,PET,8,25,0.5,0.8600000000000001,True
ENZ001,PET,8,25,1.0,0.8600000000000001,True
ENZ001,PET,8,35,0.0,0.8600000000000001,True
ENZ001,PET,8,35,0.5,0.8600000000000001,True
ENZ001,PET,8,35,1.0,0.8600000000000001,True
ENZ001,PET,8,45,0.0,0.7975000000000001,True
ENZ001,PET,8,45,0.5,0.7975000000000001,True
ENZ001,PET,8,45,1.0,0.7975000000000001,True
ENZ001,PET,8,55,0.0,0.6725000000000001,True
ENZ001,PET,8,55,0.5,0.6725000000000001,True
ENZ001,PET,8,55,1.0,0.6725000000000001,True
ENZ001,PET,8,65,0.0,0.6100000000000001,True
ENZ001,PET,8,65,0.5,0.6100000000000001,True
ENZ001,PET,8,65,1.0,0.6100000000000001,True
